,pos,text,node_trace,x_pos,y_pos,cutoff
NZ_CP054839.1.region031,"(3148.1, 2746.0)",P8<br>NZ_CP054839.1.region031<br>['lanthipeptide-class-iv']<br>yatakemycin<br>0.06<br>GCF_21,BGC < 40% similarity,3148.1,2746.0,0.30
NZ_CP054839.1.region032,"(2574.7, 2127.4)",P8<br>NZ_CP054839.1.region032<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_29,BGC < 40% similarity,2574.7,2127.4,0.30
NZ_CP054839.1.region034,"(1836.4, 1566.7)",P8<br>NZ_CP054839.1.region034<br>['terpene']<br>geosmin<br>1.00<br>GCF_303,BGC >= 80% similarity,1836.4,1566.7,0.30
NZ_JABNNH010000001.1.region001,"(1701.2, 1355.9)",P8<br>NZ_JABNNH010000001.1.region001<br>['NRPS']<br>marformycin A / marformycin B / marformycin C / marformycin D / marformycin E / marformycin F<br>0.12<br>GCF_3,BGC < 40% similarity,1701.2,1355.9,0.30
NZ_JABNNH010000001.1.region002,"(1230.2, 1561.4)",P8<br>NZ_JABNNH010000001.1.region002<br>['indole']<br>fortimicin<br>0.07<br>GCF_19,BGC < 40% similarity,1230.2,1561.4,0.30
NZ_JABNNH010000001.1.region003,"(1344.5, 1514.9)",P8<br>NZ_JABNNH010000001.1.region003<br>['terpene']<br>SF2575<br>0.04<br>GCF_2,BGC < 40% similarity,1344.5,1514.9,0.30
NZ_JABNNH010000001.1.region004,"(3094.7, 2560.0)",P8<br>NZ_JABNNH010000001.1.region004<br>['T1PKS']<br>FR-900520<br>0.18<br>GCF_58,BGC < 40% similarity,3094.7,2560.0,0.30
NZ_JABNNH010000001.1.region006,"(986.68, 328.0)","P8<br>NZ_JABNNH010000001.1.region006<br>['T1PKS', 'NRPS']<br>heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F<br>0.12<br>GCF_50",BGC < 40% similarity,986.68,328.0,0.30
NZ_JABNNH010000001.1.region007,"(1264.3, 2312.9)",P8<br>NZ_JABNNH010000001.1.region007<br>['NRPS']<br>amychelin<br>0.44<br>GCF_54,BGC < 80% similarity,1264.3,2312.9,0.30
NZ_JABNNH010000001.1.region008,"(1381.2, 2073.9)","P8<br>NZ_JABNNH010000001.1.region008<br>['T1PKS', 'NRPS-like']<br>microansamycin<br>0.46<br>GCF_25",BGC < 80% similarity,1381.2,2073.9,0.30
NZ_JABNNH010000001.1.region010,"(2052.4, 1688.3)","P8<br>NZ_JABNNH010000001.1.region010<br>['NAPAA', 'NRPS', 'betalactone']<br>erythrochelin<br>1.00<br>GCF_17",BGC >= 80% similarity,2052.4,1688.3,0.30
NZ_JABNNH010000001.1.region011,"(1346.6, 1696.3)",P8<br>NZ_JABNNH010000001.1.region011<br>['terpene']<br>geosmin<br>1.00<br>GCF_32,BGC >= 80% similarity,1346.6,1696.3,0.30
NZ_JABNNH010000001.1.region012,"(1474.1, 1527.6)",P8<br>NZ_JABNNH010000001.1.region012<br>['NAPAA']<br>actinomycin D<br>0.07<br>GCF_26,BGC < 40% similarity,1474.1,1527.6,0.30
NZ_JABNNH010000001.1.region013,"(2641.4, 1210.8)",P8<br>NZ_JABNNH010000001.1.region013<br>['terpene']<br>isorenieratene<br>0.57<br>GCF_31,BGC < 80% similarity,2641.4,1210.8,0.30
NZ_JABNNH010000001.1.region014,"(2577.9, 1044.5)",P8<br>NZ_JABNNH010000001.1.region014<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_4,BGC < 40% similarity,2577.9,1044.5,0.30
NZ_JABNNH010000001.1.region015,"(1556.5, 2168.4)",P8<br>NZ_JABNNH010000001.1.region015<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_10,BGC >= 80% similarity,1556.5,2168.4,0.30
NZ_JABNNH010000001.1.region016,"(1719.0, 1504.2)",P8<br>NZ_JABNNH010000001.1.region016<br>['terpene']<br>geosmin<br>1.00<br>GCF_34,BGC >= 80% similarity,1719.0,1504.2,0.30
NZ_JABNNH010000001.1.region017,"(1792.4, 2134.7)",P8<br>NZ_JABNNH010000001.1.region017<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>0.09<br>GCF_265,BGC < 40% similarity,1792.4,2134.7,0.30
NZ_JABNNH010000001.1.region018,"(2770.6, 2911.5)",P8<br>NZ_JABNNH010000001.1.region018<br>['lanthipeptide-class-iv']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40<br>GCF_23,BGC < 80% similarity,2770.6,2911.5,0.30
NZ_JABNNH010000001.1.region019,"(1904.6, 1817.9)",P8<br>NZ_JABNNH010000001.1.region019<br>['T1PKS']<br>E-837<br>1.00<br>GCF_27,BGC >= 80% similarity,1904.6,1817.9,0.30
NZ_JABNNH010000001.1.region020,"(1700.4, 1781.3)",P8<br>NZ_JABNNH010000001.1.region020<br>['lanthipeptide-class-iii']<br>Ery-9 / Ery-6 / Ery-8 / Ery-7 / Ery-5 / Ery-4 / Ery-3<br>1.00<br>GCF_22,BGC >= 80% similarity,1700.4,1781.3,0.30
NZ_JABNNH010000001.1.region021,"(1440.1, 1864.3)","P8<br>NZ_JABNNH010000001.1.region021<br>['NRPS', 'T1PKS', 'terpene']<br>hopene<br>0.46<br>GCF_42",BGC < 80% similarity,1440.1,1864.3,0.30
NZ_JABNNH010000001.1.region024,"(2689.7, 1657.2)",P8<br>NZ_JABNNH010000001.1.region024<br>['hglE-KS']<br>oxalomycin B<br>0.06<br>GCF_61,BGC < 40% similarity,2689.7,1657.2,0.30
NZ_JABNNH010000001.1.region025,"(645.68, 2618.1)","P8<br>NZ_JABNNH010000001.1.region025<br>['T3PKS', 'PKS-like']<br>meilingmycin<br>0.11<br>GCF_59",BGC < 40% similarity,645.68,2618.1,0.30
NZ_JABNNH010000001.1.region026,"(3144.2, 2835.6)",P8<br>NZ_JABNNH010000001.1.region026<br>['lanthipeptide-class-iv']<br>yatakemycin<br>0.06<br>GCF_21,BGC < 40% similarity,3144.2,2835.6,0.30
NZ_JABNNH010000001.1.region027,"(2640.2, 2156.8)",P8<br>NZ_JABNNH010000001.1.region027<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_29,BGC < 40% similarity,2640.2,2156.8,0.30
NZ_JABNNH010000001.1.region028,"(3156.7, 266.0)","P8<br>NZ_JABNNH010000001.1.region028<br>['terpene', 'NRPS-like']<br>JBIR-126<br>0.19<br>GCF_38",BGC < 40% similarity,3156.7,266.0,0.30
NZ_JABNNH010000001.1.region029,"(2302.4, 1452.3)",P8<br>NZ_JABNNH010000001.1.region029<br>['thiopeptide']<br>azinomycin B<br>0.06<br>GCF_46,BGC < 40% similarity,2302.4,1452.3,0.30
NZ_JABNNH010000001.1.region030,"(2067.3, 1539.1)","P8<br>NZ_JABNNH010000001.1.region030<br>['PKS-like', 'T1PKS']<br>polyketomycin<br>0.05<br>GCF_60",BGC < 40% similarity,2067.3,1539.1,0.30
NZ_JABNNH010000001.1.region031,"(1915.6, 1550.9)",P8<br>NZ_JABNNH010000001.1.region031<br>['T1PKS']<br>branched-chain fatty acids<br>0.75<br>GCF_57,BGC < 80% similarity,1915.6,1550.9,0.30
NZ_JABNNH010000002.1.region001,"(1701.1, 1591.9)","P8<br>NZ_JABNNH010000002.1.region001<br>['T3PKS']<br>flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin<br>0.89<br>GCF_28",BGC >= 80% similarity,1701.1,1591.9,0.30
NZ_JABNNH010000002.1.region002,"(1747.7, 2031.4)",P8<br>NZ_JABNNH010000002.1.region002<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>0.96<br>GCF_9,BGC >= 80% similarity,1747.7,2031.4,0.30
NZ_JABNNH010000002.1.region003,"(2201.0, 800.43)",P8<br>NZ_JABNNH010000002.1.region003<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,2201.0,800.43,0.30
NZ_JABNNH010000002.1.region004,"(1815.7, 1539.5)","P8<br>NZ_JABNNH010000002.1.region004<br>['hglE-KS', 'T1PKS']<br>nataxazole<br>0.07<br>GCF_62",BGC < 40% similarity,1815.7,1539.5,0.30
NC_009142.1.region001,"(1793.4, 1552.9)","P8<br>NC_009142.1.region001<br>['hglE-KS', 'T1PKS']<br>nataxazole<br>0.07<br>GCF_62",BGC < 40% similarity,1793.4,1552.9,0.30
NC_009142.1.region002,"(2240.0, 854.42)",P8<br>NC_009142.1.region002<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,2240.0,854.42,0.30
NC_009142.1.region004,"(1723.7, 1902.8)",P8<br>NC_009142.1.region004<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>1.00<br>GCF_9,BGC >= 80% similarity,1723.7,1902.8,0.30
NC_009142.1.region005,"(1700.0, 1492.5)","P8<br>NC_009142.1.region005<br>['T3PKS']<br>flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin<br>0.89<br>GCF_28",BGC >= 80% similarity,1700.0,1492.5,0.30
NC_009142.1.region006,"(1719.7, 1272.1)",P8<br>NC_009142.1.region006<br>['NRPS']<br>marformycin A / marformycin B / marformycin C / marformycin D / marformycin E / marformycin F<br>0.12<br>GCF_3,BGC < 40% similarity,1719.7,1272.1,0.30
NC_009142.1.region007,"(1299.0, 1562.0)",P8<br>NC_009142.1.region007<br>['indole']<br>fortimicin<br>0.07<br>GCF_19,BGC < 40% similarity,1299.0,1562.0,0.30
NC_009142.1.region008,"(1334.6, 1465.5)",P8<br>NC_009142.1.region008<br>['terpene']<br>SF2575<br>0.04<br>GCF_2,BGC < 40% similarity,1334.6,1465.5,0.30
NC_009142.1.region009,"(3091.5, 2641.6)",P8<br>NC_009142.1.region009<br>['T1PKS']<br>FR-900520<br>0.18<br>GCF_58,BGC < 40% similarity,3091.5,2641.6,0.30
NC_009142.1.region011,"(1014.0, 423.18)","P8<br>NC_009142.1.region011<br>['T1PKS', 'NRPS']<br>heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F<br>0.12<br>GCF_50",BGC < 40% similarity,1014.0,423.18,0.30
NC_009142.1.region012,"(1281.2, 2232.8)",P8<br>NC_009142.1.region012<br>['NRPS']<br>amychelin<br>0.44<br>GCF_54,BGC < 80% similarity,1281.2,2232.8,0.30
NC_009142.1.region013,"(1437.2, 2074.5)","P8<br>NC_009142.1.region013<br>['NRPS-like', 'T1PKS']<br>microansamycin<br>0.43<br>GCF_25",BGC < 80% similarity,1437.2,2074.5,0.30
NC_009142.1.region015,"(2130.5, 1661.5)","P8<br>NC_009142.1.region015<br>['NAPAA', 'NRPS', 'betalactone']<br>erythrochelin<br>1.00<br>GCF_17",BGC >= 80% similarity,2130.5,1661.5,0.30
NC_009142.1.region016,"(1381.7, 1649.7)",P8<br>NC_009142.1.region016<br>['terpene']<br>geosmin<br>1.00<br>GCF_32,BGC >= 80% similarity,1381.7,1649.7,0.30
NC_009142.1.region017,"(1494.0, 1447.0)",P8<br>NC_009142.1.region017<br>['NAPAA']<br>actinomycin D<br>0.07<br>GCF_26,BGC < 40% similarity,1494.0,1447.0,0.30
NC_009142.1.region018,"(2640.4, 1148.2)",P8<br>NC_009142.1.region018<br>['terpene']<br>isorenieratene<br>0.57<br>GCF_31,BGC < 80% similarity,2640.4,1148.2,0.30
NC_009142.1.region019,"(2543.4, 978.06)",P8<br>NC_009142.1.region019<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_4,BGC < 40% similarity,2543.4,978.06,0.30
NC_009142.1.region020,"(1534.0, 2159.6)",P8<br>NC_009142.1.region020<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_10,BGC >= 80% similarity,1534.0,2159.6,0.30
NC_009142.1.region021,"(1719.0, 1470.1)",P8<br>NC_009142.1.region021<br>['terpene']<br>geosmin<br>1.00<br>GCF_34,BGC >= 80% similarity,1719.0,1470.1,0.30
NC_009142.1.region022,"(2677.8, 2906.9)",P8<br>NC_009142.1.region022<br>['lanthipeptide-class-iv']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40<br>GCF_23,BGC < 80% similarity,2677.8,2906.9,0.30
NC_009142.1.region023,"(1854.4, 1756.2)",P8<br>NC_009142.1.region023<br>['T1PKS']<br>E-837<br>1.00<br>GCF_27,BGC >= 80% similarity,1854.4,1756.2,0.30
NC_009142.1.region024,"(1597.4, 1788.0)",P8<br>NC_009142.1.region024<br>['lanthipeptide-class-iii']<br>Ery-9 / Ery-6 / Ery-8 / Ery-7 / Ery-5 / Ery-4 / Ery-3<br>1.00<br>GCF_22,BGC >= 80% similarity,1597.4,1788.0,0.30
NC_009142.1.region025,"(1406.1, 1905.2)","P8<br>NC_009142.1.region025<br>['NRPS', 'T1PKS', 'terpene']<br>hopene<br>0.46<br>GCF_42",BGC < 80% similarity,1406.1,1905.2,0.30
NC_009142.1.region028,"(2601.0, 1640.5)",P8<br>NC_009142.1.region028<br>['hglE-KS']<br>oxalomycin B<br>0.06<br>GCF_61,BGC < 40% similarity,2601.0,1640.5,0.30
NC_009142.1.region029,"(646.93, 2679.4)","P8<br>NC_009142.1.region029<br>['T3PKS', 'PKS-like']<br>meilingmycin<br>0.11<br>GCF_59",BGC < 40% similarity,646.93,2679.4,0.30
NC_009142.1.region030,"(3183.9, 2814.6)",P8<br>NC_009142.1.region030<br>['lanthipeptide-class-iv']<br>yatakemycin<br>0.06<br>GCF_21,BGC < 40% similarity,3183.9,2814.6,0.30
NC_009142.1.region031,"(2612.6, 2126.0)",P8<br>NC_009142.1.region031<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_29,BGC < 40% similarity,2612.6,2126.0,0.30
NC_009142.1.region032,"(3153.5, 347.58)","P8<br>NC_009142.1.region032<br>['terpene', 'NRPS-like']<br>JBIR-126<br>0.19<br>GCF_38",BGC < 40% similarity,3153.5,347.58,0.30
NC_009142.1.region033,"(2224.0, 1456.6)",P8<br>NC_009142.1.region033<br>['thiopeptide']<br>azinomycin B<br>0.06<br>GCF_46,BGC < 40% similarity,2224.0,1456.6,0.30
NC_009142.1.region034,"(1959.5, 1544.6)","P8<br>NC_009142.1.region034<br>['PKS-like', 'T1PKS']<br>polyketomycin<br>0.05<br>GCF_60",BGC < 40% similarity,1959.5,1544.6,0.30
NC_009142.1.region035,"(1981.7, 1606.3)",P8<br>NC_009142.1.region035<br>['T1PKS']<br>branched-chain fatty acids<br>0.75<br>GCF_57,BGC < 80% similarity,1981.7,1606.3,0.30
NZ_PDBV01000001.1.region001,"(1813.7, 1562.6)","P8<br>NZ_PDBV01000001.1.region001<br>['hglE-KS', 'T1PKS']<br>nataxazole<br>0.07<br>GCF_62",BGC < 40% similarity,1813.7,1562.6,0.30
NZ_PDBV01000001.1.region002,"(2177.1, 805.12)",P8<br>NZ_PDBV01000001.1.region002<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,2177.1,805.12,0.30
NZ_PDBV01000001.1.region003,"(1763.0, 2004.0)",P8<br>NZ_PDBV01000001.1.region003<br>['T1PKS']<br>erythromycin A / erythromycin B / erythromycin C / erythromycin D<br>1.00<br>GCF_9,BGC >= 80% similarity,1763.0,2004.0,0.30
NZ_PDBV01000001.1.region004,"(1659.8, 1584.3)","P8<br>NZ_PDBV01000001.1.region004<br>['T3PKS']<br>flaviolin rhamnoside / 3,3'-diflaviolin / flaviolin<br>0.89<br>GCF_28",BGC >= 80% similarity,1659.8,1584.3,0.30
NZ_PDBV01000001.1.region005,"(1690.9, 1373.9)",P8<br>NZ_PDBV01000001.1.region005<br>['NRPS']<br>marformycin A / marformycin B / marformycin C / marformycin D / marformycin E / marformycin F<br>0.12<br>GCF_3,BGC < 40% similarity,1690.9,1373.9,0.30
NZ_PDBV01000001.1.region006,"(1234.2, 1584.3)",P8<br>NZ_PDBV01000001.1.region006<br>['indole']<br>fortimicin<br>0.07<br>GCF_19,BGC < 40% similarity,1234.2,1584.3,0.30
NZ_PDBV01000001.1.region007,"(1361.6, 1501.6)",P8<br>NZ_PDBV01000001.1.region007<br>['terpene']<br>SF2575<br>0.04<br>GCF_2,BGC < 40% similarity,1361.6,1501.6,0.30
NZ_PDBV01000001.1.region008,"(3125.3, 2621.6)",P8<br>NZ_PDBV01000001.1.region008<br>['T1PKS']<br>FR-900520<br>0.18<br>GCF_58,BGC < 40% similarity,3125.3,2621.6,0.30
NZ_PDBV01000001.1.region010,"(1005.8, 379.34)","P8<br>NZ_PDBV01000001.1.region010<br>['T1PKS', 'NRPS']<br>heronamide A / heronamide B / heronamide C / heronamide D / heronamide E / heronamide F<br>0.12<br>GCF_50",BGC < 40% similarity,1005.8,379.34,0.30
NZ_PDBV01000001.1.region011,"(1240.0, 2300.8)",P8<br>NZ_PDBV01000001.1.region011<br>['NRPS']<br>amychelin<br>0.44<br>GCF_54,BGC < 80% similarity,1240.0,2300.8,0.30
NZ_PDBV01000001.1.region012,"(1417.4, 2098.9)","P8<br>NZ_PDBV01000001.1.region012<br>['T1PKS', 'NRPS-like']<br>microansamycin<br>0.43<br>GCF_25",BGC < 80% similarity,1417.4,2098.9,0.30
NZ_PDBV01000001.1.region014,"(2050.2, 1654.7)","P8<br>NZ_PDBV01000001.1.region014<br>['NAPAA', 'NRPS', 'betalactone']<br>erythrochelin<br>1.00<br>GCF_17",BGC >= 80% similarity,2050.2,1654.7,0.30
NZ_PDBV01000001.1.region015,"(1344.6, 1717.6)",P8<br>NZ_PDBV01000001.1.region015<br>['terpene']<br>geosmin<br>1.00<br>GCF_32,BGC >= 80% similarity,1344.6,1717.6,0.30
NZ_PDBV01000001.1.region016,"(1468.2, 1510.3)",P8<br>NZ_PDBV01000001.1.region016<br>['NAPAA']<br>actinomycin D<br>0.07<br>GCF_26,BGC < 40% similarity,1468.2,1510.3,0.30
NZ_PDBV01000001.1.region017,"(2591.0, 1189.2)",P8<br>NZ_PDBV01000001.1.region017<br>['terpene']<br>isorenieratene<br>0.57<br>GCF_31,BGC < 80% similarity,2591.0,1189.2,0.30
NZ_PDBV01000001.1.region018,"(2567.5, 1026.5)",P8<br>NZ_PDBV01000001.1.region018<br>['terpene']<br>neoantimycin<br>0.20<br>GCF_4,BGC < 40% similarity,2567.5,1026.5,0.30
NZ_PDBV01000001.1.region019,"(1592.3, 2161.5)",P8<br>NZ_PDBV01000001.1.region019<br>['terpene']<br>2-methylisoborneol<br>1.00<br>GCF_10,BGC >= 80% similarity,1592.3,2161.5,0.30
NZ_PDBV01000001.1.region020,"(1687.0, 1506.0)",P8<br>NZ_PDBV01000001.1.region020<br>['terpene']<br>geosmin<br>1.00<br>GCF_34,BGC >= 80% similarity,1687.0,1506.0,0.30
NZ_PDBV01000001.1.region021,"(2737.7, 2896.6)",P8<br>NZ_PDBV01000001.1.region021<br>['lanthipeptide-class-iv']<br>labyrinthopeptin A2 / labyrinthopeptin A1 / labyrinthopeptin A3<br>0.40<br>GCF_23,BGC < 80% similarity,2737.7,2896.6,0.30
NZ_PDBV01000001.1.region022,"(1949.9, 1767.1)",P8<br>NZ_PDBV01000001.1.region022<br>['T1PKS']<br>E-837<br>1.00<br>GCF_27,BGC >= 80% similarity,1949.9,1767.1,0.30
NZ_PDBV01000001.1.region023,"(1698.8, 1771.3)",P8<br>NZ_PDBV01000001.1.region023<br>['lanthipeptide-class-iii']<br>Ery-9 / Ery-6 / Ery-8 / Ery-7 / Ery-5 / Ery-4 / Ery-3<br>1.00<br>GCF_22,BGC >= 80% similarity,1698.8,1771.3,0.30
NZ_PDBV01000001.1.region024,"(1450.6, 1872.0)","P8<br>NZ_PDBV01000001.1.region024<br>['NRPS', 'T1PKS', 'terpene']<br>hopene<br>0.46<br>GCF_42",BGC < 80% similarity,1450.6,1872.0,0.30
NZ_PDBV01000001.1.region027,"(2666.5, 1677.2)",P8<br>NZ_PDBV01000001.1.region027<br>['hglE-KS']<br>oxalomycin B<br>0.06<br>GCF_61,BGC < 40% similarity,2666.5,1677.2,0.30
NZ_PDBV01000001.1.region028,"(687.17, 2655.0)","P8<br>NZ_PDBV01000001.1.region028<br>['T3PKS', 'PKS-like']<br>meilingmycin<br>0.11<br>GCF_59",BGC < 40% similarity,687.17,2655.0,0.30
NZ_PDBV01000001.1.region029,"(3106.8, 2811.2)",P8<br>NZ_PDBV01000001.1.region029<br>['lanthipeptide-class-iv']<br>yatakemycin<br>0.06<br>GCF_21,BGC < 40% similarity,3106.8,2811.2,0.30
NZ_PDBV01000001.1.region030,"(2589.7, 2167.6)",P8<br>NZ_PDBV01000001.1.region030<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_29,BGC < 40% similarity,2589.7,2167.6,0.30
NZ_PDBV01000001.1.region031,"(3187.3, 327.58)","P8<br>NZ_PDBV01000001.1.region031<br>['terpene', 'NRPS-like']<br>JBIR-126<br>0.19<br>GCF_38",BGC < 40% similarity,3187.3,327.58,0.30
NZ_PDBV01000001.1.region032,"(2284.9, 1404.7)",P8<br>NZ_PDBV01000001.1.region032<br>['thiopeptide']<br>azinomycin B<br>0.06<br>GCF_46,BGC < 40% similarity,2284.9,1404.7,0.30
NZ_PDBV01000001.1.region033,"(2056.1, 1498.7)","P8<br>NZ_PDBV01000001.1.region033<br>['PKS-like', 'T1PKS']<br>polyketomycin<br>0.05<br>GCF_60",BGC < 40% similarity,2056.1,1498.7,0.30
NZ_PDBV01000001.1.region034,"(1931.3, 1576.6)",P8<br>NZ_PDBV01000001.1.region034<br>['T1PKS']<br>branched-chain fatty acids<br>0.75<br>GCF_57,BGC < 80% similarity,1931.3,1576.6,0.30
NZ_FOZX01000016.1.region001,"(1788.9, 1421.7)",P5<br>NZ_FOZX01000016.1.region001<br>['NRPS']<br>pepticinnamin E<br>0.07<br>GCF_3,BGC < 40% similarity,1788.9,1421.7,0.30
NZ_FOZX01000017.1.region001,"(471.19, 861.21)",P5<br>NZ_FOZX01000017.1.region001<br>['T3PKS']<br>alkylresorcinol<br>1.00<br>GCF_298,BGC >= 80% similarity,471.19,861.21,0.30
BGC0000282,"(515.08, 918.63)","BGC0000282<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>a<br>l<br>k<br>y<br>l<br>r<br>e<br>s<br>o<br>r<br>c<br>i<br>n<br>o<br>l<br>'<br>]<br>)",MIBIG (KnownClusterBlast),515.08,918.63,0.30
NZ_FOZX01000011.1.region001,"(1446.5, 1811.0)",P5<br>NZ_FOZX01000011.1.region001<br>['terpene']<br>geosmin<br>1.00<br>GCF_69,BGC >= 80% similarity,1446.5,1811.0,0.30
NZ_FOZX01000011.1.region002,"(1292.2, 1927.3)",P5<br>NZ_FOZX01000011.1.region002<br>['terpene']<br>hopene<br>0.46<br>GCF_67,BGC < 80% similarity,1292.2,1927.3,0.30
NZ_FOZX01000002.1.region001,"(2082.8, 777.03)",P5<br>NZ_FOZX01000002.1.region001<br>['ectoine']<br>ectoine<br>1.00<br>GCF_1,BGC >= 80% similarity,2082.8,777.03,0.30
NZ_FOZX01000003.1.region001,"(1856.9, 1811.0)","P5<br>NZ_FOZX01000003.1.region001<br>['T1PKS', 'NRPS-like']<br>nystatin A1<br>0.68<br>GCF_231",BGC < 80% similarity,1856.9,1811.0,0.30
BGC0000115,"(1854.8, 1891.7)","BGC0000115<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>P<br>o<br>l<br>y<br>k<br>e<br>t<br>i<br>d<br>e<br>;<br>S<br>a<br>c<br>c<br>h<br>a<br>r<br>i<br>d<br>e<br>'<br>,<br> <br>'<br>n<br>y<br>s<br>t<br>a<br>t<br>i<br>n<br> <br>A<br>1<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1854.8,1891.7,0.30
NZ_FOZX01000003.1.region002,"(1806.0, 1812.3)",P5<br>NZ_FOZX01000003.1.region002<br>['lanthipeptide-class-iii']<br>fusaricidin B<br>0.25<br>GCF_81,BGC < 40% similarity,1806.0,1812.3,0.30
NZ_FOZX01000003.1.region003,"(2865.6, 1460.4)",P5<br>NZ_FOZX01000003.1.region003<br>['siderophore']<br>staphylobactin<br>0.25<br>GCF_103,P5 | BGC (Staphylobactin),2865.6,1460.4,0.30
NZ_FOZX01000004.1.region001,"(1275.2, 1377.9)",P5<br>NZ_FOZX01000004.1.region001<br>['terpene']<br>SF2575<br>0.07<br>GCF_2,BGC < 40% similarity,1275.2,1377.9,0.30
NZ_FOZX01000004.1.region003,"(2818.1, 1773.0)",P5<br>NZ_FOZX01000004.1.region003<br>['redox-cofactor']<br>lankacidin C<br>0.13<br>GCF_36,BGC < 40% similarity,2818.1,1773.0,0.30
NZ_FOZX01000001.1.region001,"(2340.8, 2703.3)",P5<br>NZ_FOZX01000001.1.region001<br>['arylpolyene']<br>saquayamycin A<br>0.05<br>GCF_178,BGC < 40% similarity,2340.8,2703.3,0.30
NZ_FOZX01000001.1.region002,"(2747.5, 1063.0)","P5<br>NZ_FOZX01000001.1.region002<br>['T3PKS', 'NRPS', 'T1PKS']<br>antimycin<br>0.94<br>GCF_8",BGC >= 80% similarity,2747.5,1063.0,0.30
NZ_FOZX01000009.1.region001,"(1129.0, 1502.8)",P5<br>NZ_FOZX01000009.1.region001<br>['indole']<br>fortimicin<br>0.09<br>GCF_43,BGC < 40% similarity,1129.0,1502.8,0.30
NZ_FOZX01000007.1.region001,"(1841.8, 1660.0)","P5<br>NZ_FOZX01000007.1.region001<br>['T1PKS', 'transAT-PKS', 'NRPS-like', 'T3PKS', 'NRPS']<br>totopotensamide A / totopotensamide B<br>0.56<br>GCF_84",BGC < 80% similarity,1841.8,1660.0,0.30
NZ_FOZX01000010.1.region001,"(2680.6, 1291.0)",P5<br>NZ_FOZX01000010.1.region001<br>['terpene']<br>isorenieratene<br>0.71<br>GCF_121,BGC < 80% similarity,2680.6,1291.0,0.30
NZ_JACHIV010000001.1.region001,"(1934.7, 1299.8)","P7<br>NZ_JACHIV010000001.1.region001<br>['thioamide-NRP', 'ladderane', 'NRPS']<br>atratumycin<br>0.32<br>GCF_130",BGC < 40% similarity,1934.7,1299.8,0.30
BGC0001975,"(1833.6, 1254.0)","BGC0001975<br>d<br>i<br>c<br>t<br>_<br>v<br>a<br>l<br>u<br>e<br>s<br>(<br>[<br>'<br>N<br>R<br>P<br>'<br>,<br> <br>'<br>a<br>t<br>r<br>a<br>t<br>u<br>m<br>y<br>c<br>i<br>n<br>'<br>]<br>)",MIBIG (KnownClusterBlast),1833.6,1254.0,0.30
NZ_JACHIV010000001.1.region002,"(2596.5, 2282.1)",P7<br>NZ_JACHIV010000001.1.region002<br>['terpene']<br>brasilicardin A<br>0.38<br>GCF_122,BGC < 40% similarity,2596.5,2282.1,0.30
NZ_JACHIV010000001.1.region003,"(1777.8, 1443.8)",P7<br>NZ_JACHIV010000001.1.region003<br>['NRPS']<br>bacillibactin<br>0.15<br>GCF_55,BGC < 40% similarity,1777.8,1443.8,0.30
NZ_JACHIV010000001.1.region004,"(1134.5, 1632.6)",P7<br>NZ_JACHIV010000001.1.region004<br>['indole']<br>fortimicin<br>0.07<br>GCF_99,BGC < 40% similarity,1134.5,1632.6,0.30
NZ_JACHIV010000001.1.region005,"(1181.9, 1450.2)",P7<br>NZ_JACHIV010000001.1.region005<br>['terpene']<br>SF2575<br>0.07<br>GCF_2,BGC < 40% similarity,1181.9,1450.2,0.30
