feat_id,file_id,seq_id,start,end,strand,type,introns,parent_ids,source,score,phase,name,protocluster_number,tool,a_stool,product,cutoff,neighbourhood,category,contig_edge,core_location,detection_rule,candidate_cluster_number,kind,protoclusters,detection_rules,label,subregion_number,rules,subregion_numbers,candidate_cluster_numbers,region_number,locus_tag.x,dbxref,function,transl_table,gene_kind,gene_functions,sec_met_domain,protein_id,note,a_s_tool,prepeptide,peptide,molecular_weight,core_sequence,leader_sequence,alternative_weights,predicted_class,leader_location,monoisotopic_mass,inference,ec_number,nrps_pks,a_s_domain,detection,database,evalue,protein_start,domain_id,protein_end,domain_subtype,specificity,estimated_length,gap_type,linkage_evidence,geom_id,cluster_id,cluster_n,locus_tag.y,cluster_label
cds-DPJDDACK_08080,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,20736,23273,+,CDS,,,NA,NA,0,ramC,NA,NA,NA,putative SapB synthase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08080,COG:COG0515,NA,11,biosynthetic,"biosynthetic (rule-based-clusters)lanthipeptide-class-iii: micKC,biosynthetic-additional(rule-based-clusters) Pkinase,biosynthetic-additional(rule-based-clusters) APH,regulatory (smcogs)SMCOG1030:serine/threonine protein kinase (Score: 75.8%3bE-value: 6.5e-23)","Pkinase (E-value: 1.6e-10, bitscore: 39.2,seeds: 54, tool: rule-based-clusters),micKC (E-value: 0.0, bitscore: 1042.8,seeds: 18, tool: rule-based-clusters),APH (E-value: 1.8e-06, bitscore: 26.6,seeds: 156, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O88037",2.7.-.-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08080,cog_02,16,DPJDDACK_08080,cog_02 (16)
cds-DPJDDACK_08090,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,23350,23505,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08090,NA,NA,11,biosynthetic-additional,biosynthetic-additional (lanthipeptides)predicted lanthipeptide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08090,cog_03,15,DPJDDACK_08090,cog_03 (15)
cds-DPJDDACK_08100,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,24047,25537,+,CDS,,,NA,NA,0,ramA_1,NA,NA,NA,ABC transporter ATP-binding protein RamA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08100,COG:COG1132,NA,11,transport,transport (smcogs) SMCOG1288:ABCtransporter related protein (Score: 311.5%3b E-value:1.9e-94),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O88039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08100,cog_01,32,DPJDDACK_08100,cog_01 (32)
cds-DPJDDACK_08110,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,25534,27588,+,CDS,,,NA,NA,0,btuD_5,NA,NA,NA,Vitamin B12 import ATP-binding protein BtuD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08110,NA,NA,11,transport,transport (smcogs) SMCOG1000:ABCtransporter ATP-binding protein (Score: 163%3b E-value:1.6e-49),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01005",7.6.2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08110,cog_01,32,DPJDDACK_08110,cog_01 (32)
cds-DPJDDACK_08120,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,27601,28185,-,CDS,,,NA,NA,0,sigK_1,NA,NA,NA,ECF RNA polymerase sigma factor SigK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08120,COG:COG1595,NA,11,regulatory,"regulatory (smcogs) SMCOG1032:RNApolymerase, sigma-24 subunit, ECF subfamily (Score: 107.1%3bE-value: 1.3e-32)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WGH7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08120,cog_39,4,DPJDDACK_08120,rare
cds-DPJDDACK_08130,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,28362,29186,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08130,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08130,cog_60,3,DPJDDACK_08130,rare
cds-DPJDDACK_08140,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,29684,30745,-,CDS,,,NA,NA,0,mshA_1,NA,NA,NA,D-inositol-3-phosphate glycosyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08140,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) Glycos_transf_1,biosynthetic-additional (smcogs)SMCOG1045:glycosyl transferase group 1 (Score: 132.3%3bE-value: 4.2e-40)","Glycos_transf_1 (E-value: 6.3e-15,bitscore: 53.7, seeds: 63, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01695",2.4.1.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08140,cog_59,3,DPJDDACK_08140,rare
cds-DPJDDACK_08150,Erythreapeptin_6.1.1,NZ_CP059557.1.region002,30742,33228,-,CDS,,,NA,NA,NA,mshA_2,NA,NA,NA,D-inositol-3-phosphate glycosyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPJDDACK_08150,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) Glycos_transf_1,biosynthetic-additional(rule-based-clusters) Glycos_transf_2,biosynthetic-additional (smcogs)SMCOG1045:glycosyl transferase group 1 (Score: 58.1%3bE-value: 1.5e-17)","Glycos_transf_1 (E-value: 2.7e-10,bitscore: 38.6, seeds: 63, tool: rule-based-clusters),Glycos_transf_2 (E-value: 1.9e-13,bitscore: 49.1, seeds: 256, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01695",2.4.1.250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-DPJDDACK_08150,cog_58,3,DPJDDACK_08150,rare
cds-GBGKCCPF_58440,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,854,2122,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58440,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58440,cog_19,4,GBGKCCPF_58440,rare
cds-GBGKCCPF_58450,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,2342,3061,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58450,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58450,cog_43,3,GBGKCCPF_58450,rare
cds-GBGKCCPF_58460,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,3337,3600,+,CDS,,,NA,NA,0,tpl_1,NA,NA,NA,Tyrosine phenol-lyase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58460,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00543",4.1.99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58460,cog_88,1,GBGKCCPF_58460,rare
cds-GBGKCCPF_58470,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,3630,4712,+,CDS,,,NA,NA,0,tpl_2,NA,NA,NA,Tyrosine phenol-lyase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58470,COG:COG3033,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q08897",4.1.99.2,"Domain: Beta_elim_lyase (0-302). E-value:7.6e-62. Score: 201.0. Matches aSDomain:nrpspksdomains_GBGKCCPF_58470_Beta_elim_lyase.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58470,cog_38,4,GBGKCCPF_58470,rare
cds-GBGKCCPF_58480,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,4709,4912,-,CDS,,,NA,NA,0,sti_2,NA,NA,NA,subtilase-type protease inhibitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58480,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58480,cog_44,3,GBGKCCPF_58480,rare
cds-GBGKCCPF_58490,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,5235,5480,+,CDS,,,NA,NA,0,fkbM,NA,NA,NA,31-O-demethyl-FK506 methyltransferase FkbM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58490,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P74838",2.1.1.-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58490,cog_45,3,GBGKCCPF_58490,rare
cds-GBGKCCPF_58500,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,5491,5778,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58500,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58500,cog_46,3,GBGKCCPF_58500,rare
cds-GBGKCCPF_58510,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,5778,6914,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58510,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) MGT,biosynthetic-additional (smcogs)SMCOG1062:glycosyltransferase, MGT family (Score: 132%3bE-value: 5.5e-40)","MGT (E-value: 5e-34, bitscore: 115.3,seeds: 193, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58510,cog_57,3,GBGKCCPF_58510,rare
cds-GBGKCCPF_58520,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,6959,7981,+,CDS,,,NA,NA,0,pat_2,NA,NA,NA,Putative phenylalanine aminotransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58520,COG:COG0079,NA,11,biosynthetic-additional,biosynthetic-additional (smcogs)SMCOG1019:aminotransferase (Score: 145%3b E-value: 5.2e-44),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:A0R5X8",2.6.1.-,"Domain: Aminotran_1_2 (16-330). E-value:2.3e-47. Score: 153.7. Matches aSDomain:nrpspksdomains_GBGKCCPF_58520_Aminotran_1_2.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58520,cog_20,4,GBGKCCPF_58520,rare
cds-GBGKCCPF_58530,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,7978,8988,+,CDS,,,NA,NA,0,ispB,NA,NA,NA,Octaprenyl diphosphate synthase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58530,COG:COG0142,NA,11,biosynthetic-additional,biosynthetic-additional (smcogs)SMCOG1182:Polyprenyl synthetase (Score: 256.6%3b E-value:4.3e-78),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P44916",2.5.1.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58530,cog_47,3,GBGKCCPF_58530,rare
cds-GBGKCCPF_58540,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,8991,10004,+,CDS,,,NA,NA,0,cyoE_1,NA,NA,NA,Protoheme IX farnesyltransferase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58540,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00154",2.5.1.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58540,cog_21,4,GBGKCCPF_58540,rare
cds-GBGKCCPF_58550,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,10001,11662,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58550,NA,NA,11,biosynthetic,biosynthetic (rule-based-clusters)terpene: terpene_cyclase,"terpene_cyclase (E-value: 5.3e-55,bitscore: 183.6, seeds: 14, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58550,cog_22,4,GBGKCCPF_58550,rare
cds-GBGKCCPF_58560,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,11659,12906,+,CDS,,,NA,NA,0,mhpA_3,NA,NA,NA,3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamicacid hydroxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58560,NA,NA,11,biosynthetic-additional,biosynthetic-additional (smcogs)SMCOG1050:monooxygenase FAD-binding (Score: 157.1%3b E-value:1.2e-47),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01652",1.14.13.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58560,cog_04,8,GBGKCCPF_58560,medium
cds-GBGKCCPF_58570,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,12915,13916,-,CDS,,,NA,NA,0,ncsB1_3,NA,NA,NA,"2,7-dihydroxy-5-methyl-1-naphthoate7-O-methyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58570,NA,NA,11,biosynthetic-additional,biosynthetic-additional (smcogs)SMCOG1042:O-methyltransferase (Score: 266%3b E-value:8.5e-81),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q84HC8",2.1.1.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58570,cog_06,5,GBGKCCPF_58570,medium
cds-GBGKCCPF_58580,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,14080,14220,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58580,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58580,cog_105,1,GBGKCCPF_58580,rare
cds-GBGKCCPF_58590,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,14229,14939,+,CDS,,,NA,NA,0,tauD,NA,NA,NA,Alpha-ketoglutarate-dependent taurinedioxygenase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58590,COG:COG2175,NA,11,biosynthetic-additional,"biosynthetic-additional (smcogs)SMCOG1121:dioxygenase, TauD/TfdA (Score: 231.2%3b E-value:2.4e-70)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P37610",1.14.11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58590,cog_23,4,GBGKCCPF_58590,rare
cds-GBGKCCPF_58600,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,16332,16565,-,CDS,,,NA,NA,0,acpP_3,NA,NA,NA,Acyl carrier protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58600,NA,NA,11,biosynthetic-additional,biosynthetic-additional(rule-based-clusters) PP-binding,"PP-binding (E-value: 4.6e-10, bitscore:36.9, seeds: 164, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01217",NA,"Domain: PP-binding (10-72). E-value: 1.1e-11.Score: 36.9. Matches aSDomain:nrpspksdomains_GBGKCCPF_58600_PP-binding.1,type: other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58600,cog_48,3,GBGKCCPF_58600,rare
cds-GBGKCCPF_58610,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,16593,17603,-,CDS,,,NA,NA,0,fabH_5,NA,NA,NA,3-oxoacyl-[acyl-carrier-protein] synthase 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58610,COG:COG0332,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) fabH,biosynthetic-additional (smcogs)SMCOG1084:3-oxoacyl-(acyl carrier protein) synthase III(Score: 339.4%3b E-value: 3.2e-103)","fabH (E-value: 1.9e-106, bitscore: 352.9,seeds: 7, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q9HYR2",2.3.1.180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58610,cog_49,3,GBGKCCPF_58610,rare
cds-GBGKCCPF_58620,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,17600,19375,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58620,NA,NA,11,biosynthetic-additional,"biosynthetic-additional(rule-based-clusters) hyb_KS,biosynthetic-additional (smcogs)SMCOG1022:Beta-ketoacyl synthase (Score: 262.6%3b E-value:1.1e-79)","hyb_KS (E-value: 1.1e-158, bitscore:525.6, seeds: 33, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,"Domain: PKS_KS(Hybrid-KS) (19-441). E-value:1.7e-158. Score: 519.8. Matches aSDomain:nrpspksdomains_GBGKCCPF_58620_PKS_KS.1,type: PKS/NRPS-like protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58620,cog_50,3,GBGKCCPF_58620,rare
cds-GBGKCCPF_58630,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,19372,20643,-,CDS,,,NA,NA,0,phzS,NA,NA,NA,5-methylphenazine-1-carboxylate 1-monooxygenase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58630,COG:COG0654,NA,11,other,other (smcogs) SMCOG1087:hypotheticalprotein (Score: 265.2%3b E-value: 1.8e-80),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q9HWG9",1.14.13.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58630,cog_04,8,GBGKCCPF_58630,medium
cds-GBGKCCPF_58640,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,20672,21775,-,CDS,,,NA,NA,0,prnB,NA,NA,NA,Monodechloroaminopyrrolnitrin synthase PrnB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58640,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P95481",1.14.19.-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58640,cog_24,4,GBGKCCPF_58640,rare
cds-GBGKCCPF_58650,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,21799,22152,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58650,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58650,cog_25,4,GBGKCCPF_58650,rare
cds-GBGKCCPF_58660,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,22323,22598,-,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58660,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58660,cog_51,3,GBGKCCPF_58660,rare
cds-GBGKCCPF_58670,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,23098,23445,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58670,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58670,cog_52,3,GBGKCCPF_58670,rare
cds-GBGKCCPF_58680,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,23414,23686,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58680,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58680,cog_53,3,GBGKCCPF_58680,rare
cds-GBGKCCPF_58690,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,24169,24618,+,CDS,,,NA,NA,0,NA,NA,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58690,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ab initio prediction:Prodigal:002006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58690,cog_07,5,GBGKCCPF_58690,medium
cds-GBGKCCPF_58700,Erythreapeptin_6.1.1,NZ_GL877879.1.region013,27654,30191,+,CDS,,,NA,NA,0,ramC,NA,NA,NA,putative SapB synthase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBGKCCPF_58700,COG:COG0515,NA,11,biosynthetic,"biosynthetic (rule-based-clusters)lanthipeptide-class-iii: micKC,biosynthetic (rule-based-clusters)lipolanthine: micKC,biosynthetic-additional(rule-based-clusters) LANC_like,biosynthetic-additional(rule-based-clusters) Pkinase,biosynthetic-additional(rule-based-clusters) APH,regulatory (smcogs)SMCOG1030:serine/threonine protein kinase (Score: 79.1%3bE-value: 6.3e-24)","LANC_like (E-value: 1.2e-07, bitscore:27.8, seeds: 47, tool: rule-based-clusters),Pkinase (E-value: 7.9e-10, bitscore: 35.6,seeds: 54, tool: rule-based-clusters),micKC (E-value: 0.0, bitscore: 1106.2,seeds: 18, tool: rule-based-clusters),APH (E-value: 8.4e-09, bitscore: 32.7,seeds: 156, tool: rule-based-clusters)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O88037",2.7.-.-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cds-GBGKCCPF_58700,cog_02,16,GBGKCCPF_58700,cog_02 (16)
